<<<<<<< HEAD
,Country,Region,Happiness_Rank,Happiness_Score,Economy_GDP,Family,Life_Expectancy,Freedom,Trust_in_Gov,Generosity,Dystopia_Residual,Year
18,Czech Republic,Central and Eastern Europe,nan,6.910900116,10.40416336,0.914430678,70.04793549,0.818537354,0.85844624,-0.230861515,2.796808243,2020
19,Belgium,Western Europe,nan,6.863500118,10.6736393,0.911632538,72.00164795,0.813582063,0.612297952,-0.078691199,2.348626614,2020
20,United Arab Emirates,Middle East and North Africa,nan,6.790800095,11.1099987,0.849181116,67.08278656,0.941345513,0.594502211,0.123450845,2.166965961,2020
21,Malta,Western Europe,nan,6.772799969,10.53383827,0.93037951,72.19999695,0.924911439,0.658547282,0.214965805,1.952012062,2020
22,France,Western Europe,nan,6.663799763,10.58422279,0.937103748,73.80193329,0.825467646,0.583521128,-0.130641967,2.053198338,2020
23,Mexico,Latin America and Caribbean,nan,6.465000153,9.797797203,0.838665426,68.29902649,0.858709276,0.806821585,-0.175266623,2.662540197,2020
24,Taiwan Province of China,East Asia,nan,6.45539999,10.77568531,0.894309103,69.59999847,0.77153033,0.73188293,-0.073198698,2.160238743,2020
25,Uruguay,Latin America and Caribbean,nan,6.440100193,9.948192596,0.92281127,69.00254822,0.892395437,0.635994136,-0.101103112,2.167276382,2020
26,Saudi Arabia,Middle East and North Africa,nan,6.406499863,10.79781246,0.874067068,66.30514526,0.854191244,0.682619512,-0.168695062,2.203118801,2020
27,Spain,Western Europe,nan,6.400899887,10.46292686,0.921125412,74.40270996,0.751989543,0.765859902,-0.050961714,1.997088432,2020
28,Guatemala,Latin America and Caribbean,nan,6.398900032,8.924805641,0.816621482,64.8089447,0.908147573,0.783237457,-0.042938665,2.882723093,2020
29,Italy,Western Europe,nan,6.38740015,10.48183632,0.889878571,73.60168457,0.66465199,0.873404682,-0.043460999,2.249505997,2020
30,Singapore,Southeast Asia,nan,6.377099991,11.39552116,0.910268962,76.80458069,0.926645339,0.109784193,0.029879224,0.937031746,2020
31,Brazil,Latin America and Caribbean,nan,6.375599861,9.56643486,0.896723807,66.48016357,0.799804807,0.770601273,-0.101812392,2.571860313,2020
32,Slovenia,Central and Eastern Europe,nan,6.363399982,10.39232254,0.939575672,71.1029892,0.936142623,0.817071021,-0.080603383,1.888586521,2020
33,El Salvador,Latin America and Caribbean,nan,6.34829998,8.909075737,0.806092262,66.10826111,0.833805263,0.754319906,-0.121072978,2.937191725,2020
34,Kosovo,Central and Eastern Europe,nan,6.325200081,9.204429626,0.820726514,63.88555527,0.861535907,0.922328293,0.190933764,2.736902714,2020
35,Panama,Latin America and Caribbean,nan,6.304800034,10.03423405,0.902094483,69.60301208,0.880366504,0.851588905,-0.153927714,2.221176147,2020
36,Slovakia,Central and Eastern Europe,nan,6.280600071,10.34774971,0.922493756,68.90634155,0.749952674,0.918096125,-0.124409303,2.256422043,2020
37,Uzbekistan,Commonwealth of Independent States,nan,6.257599831,8.740371704,0.926595807,65.10757446,0.974998116,0.501497388,0.248427153,2.073346615,2020
38,Chile,Latin America and Caribbean,nan,6.228499889,10.0320549,0.879713595,69.90061951,0.744896293,0.838239431,-0.065668367,2.283012867,2020
39,Bahrain,Middle East and North Africa,nan,6.227300167,10.67638016,0.876342118,68.5,0.905855775,0.7393471,0.13372919,1.751917362,2020
40,Lithuania,Central and Eastern Europe,nan,6.215499878,10.34362602,0.926107109,67.29407501,0.747381449,0.809583843,-0.219725296,2.238146067,2020
41,Trinidad and Tobago,Latin America and Caribbean,nan,6.191899776,10.26000214,0.91529417,63.5,0.857907116,0.912230611,0.000526841,2.190695763,2020
42,Poland,Central and Eastern Europe,nan,6.186299801,10.26512432,0.874257445,69.31113434,0.862055779,0.686927021,-0.205084071,2.056797981,2020
43,Colombia,Latin America and Caribbean,nan,6.163400173,9.500369072,0.884440243,67.69958496,0.836179912,0.86457181,-0.161235645,2.421656609,2020
44,Cyprus,Western Europe,nan,6.15899992,10.40570259,0.805996239,73.70222473,0.779858291,0.856271744,0.043731496,2.032334805,2020
45,Nicaragua,Latin America and Caribbean,nan,6.13710022,8.493160248,0.857497036,67.50717926,0.863902867,0.665950119,0.020959141,2.496081114,2020
46,Romania,Central and Eastern Europe,nan,6.123700142,10.107584,0.825161517,67.20723724,0.842823207,0.934300244,-0.19781521,2.412749767,2020
47,Kuwait,Middle East and North Africa,nan,6.102099895,11.08982468,0.846475244,66.76764679,0.872366488,0.760849059,-0.100184701,1.840167999,2020
48,Mauritius,Sub-Saharan Africa,nan,6.101299763,9.956786156,0.910357833,66.40434265,0.889534533,0.805343091,-0.018318573,2.006720543,2020
49,Kazakhstan,Commonwealth of Independent States,nan,6.057899952,10.11465836,0.934744895,64.60996246,0.811601937,0.764490843,-0.068488635,2.021602631,2020
50,Estonia,Central and Eastern Europe,nan,6.021800041,10.34001732,0.934729993,68.60495758,0.87770915,0.623073816,-0.111697771,1.629928112,2020
51,Philippines,Southeast Asia,nan,6.006000042,8.993545532,0.846730053,61.92676163,0.915463448,0.733634114,-0.105463006,2.501741886,2020
52,Hungary,Central and Eastern Europe,nan,6.000400066,10.24924374,0.921934128,67.60997009,0.718964577,0.892916501,-0.194323018,2.121845722,2020
53,Thailand,Southeast Asia,nan,5.998799801,9.741791725,0.889973223,67.25059509,0.905063033,0.886272311,0.268685192,1.832384109,2020
54,Argentina,Latin America and Caribbean,nan,5.974699974,9.810955048,0.900567949,68.80380249,0.831132412,0.842009842,-0.194913864,2.072540998,2020
55,Honduras,Latin America and Caribbean,nan,5.953199863,8.424534798,0.821870148,67.19876862,0.870603263,0.801131904,0.086969115,2.464295387,2020
56,Latvia,Central and Eastern Europe,nan,5.949999809,10.17531967,0.918288589,66.8074646,0.671237648,0.795580089,-0.186888844,2.121283054,2020
57,Ecuador,Latin America and Caribbean,nan,5.925199986,9.246058464,0.836418986,68.50003815,0.859828949,0.801215112,-0.127014965,2.254933834,2020
58,Portugal,Western Europe,nan,5.910900116,10.26374245,0.886590719,72.40202332,0.888747811,0.892629504,-0.220714301,1.752558708,2020
59,Jamaica,Latin America and Caribbean,nan,5.889800072,9.006250381,0.915701866,67.09999847,0.858068526,0.888890028,-0.125106767,2.214436531,2020
60,South Korea,East Asia,nan,5.872399807,10.51056671,0.799387157,73.6027298,0.612965107,0.789067447,-0.043404032,1.946757078,2020
61,Japan,East Asia,nan,5.870800018,10.57968903,0.883545935,75.00096893,0.809961379,0.654558063,-0.246910349,1.486200333,2020
62,Peru,Latin America and Caribbean,nan,5.796800137,9.456313133,0.831075251,68.10023499,0.824766099,0.893714964,-0.16238822,2.213499546,2020
63,Serbia,Central and Eastern Europe,nan,5.77820015,9.680980682,0.881475747,68.21020508,0.726495862,0.843509018,-0.073676221,2.029040098,2020
64,Bolivia,Latin America and Caribbean,nan,5.747499943,8.851115227,0.803108692,63.6004715,0.875873327,0.822606206,-0.09168113,2.425928593,2020
65,Pakistan,South Asia,nan,5.69329977,8.482727051,0.689062297,58.25313568,0.734833717,0.745705426,0.04489987,2.976876736,2020
66,Paraguay,Latin America and Caribbean,nan,5.692100048,9.389982224,0.898727894,65.63993835,0.885923445,0.834788501,0.007997713,1.83412528,2020
67,Dominican Republic,Latin America and Caribbean,nan,5.689199924,9.664880753,0.882085383,65.80748749,0.866202772,0.755999923,-0.131263286,1.844246864,2020
68,Bosnia and Herzegovina,Central and Eastern Europe,nan,5.674099922,9.455817223,0.829204142,67.80813599,0.651352704,0.933769107,0.098274559,2.16724205,2020
69,Moldova,Commonwealth of Independent States,nan,5.607500076,8.776714325,0.843313575,65.01301575,0.721609175,0.913314283,-0.037741039,2.370968342,2020
70,Tajikistan,Commonwealth of Independent States,nan,5.555699825,8.024810791,0.835297108,64.10459137,0.831383407,0.592076063,-0.025088511,2.25650835,2020
71,Montenegro,Central and Eastern Europe,nan,5.54610014,9.751860619,0.855314612,68.50534821,0.649565637,0.783121586,-0.075600356,1.880565882,2020
72,Russia,Commonwealth of Independent States,nan,5.546000004,10.12887192,0.903150737,64.10045624,0.729892612,0.864802599,-0.151153743,1.815716743,2020
73,Kyrgyzstan,Commonwealth of Independent States,nan,5.541500092,8.148405075,0.887228489,64.10601044,0.909374893,0.888396084,0.154772058,2.060206652,2020
74,Belarus,Commonwealth of Independent States,nan,5.539899826,9.779945374,0.90674746,66.10433197,0.639163077,0.63571167,-0.164926544,1.8069911,2020
75,North Cyprus,Western Europe,nan,5.53550005,10.40570259,0.820356607,73.70222473,0.79529351,0.62611568,0.000227159,1.23668766,2020
76,Greece,Western Europe,nan,5.514999866,10.13232613,0.814380348,72.40525818,0.541345119,0.859931409,-0.300907373,2.016179085,2020
77,Hong Kong S.A.R. of China,East Asia,nan,5.510399818,10.9346714,0.845969081,76.77170563,0.779833794,0.420607209,0.134979904,0.673293114,2020
78,Croatia,Central and Eastern Europe,nan,5.504700184,10.07087517,0.874623716,70.21490479,0.714838803,0.916495264,-0.128538325,1.676029205,2020
79,Libya,Middle East and North Africa,nan,5.488800049,9.789815903,0.825942934,62.29999924,0.773157001,0.668779135,-0.085054487,1.888563156,2020
80,Mongolia,East Asia,nan,5.456200123,9.412186623,0.937142491,62.30448532,0.693351328,0.863511205,0.098093867,1.810527563,2020
81,Malaysia,Southeast Asia,nan,5.384300232,10.26251888,0.816509426,67.10215759,0.894626856,0.839302301,0.114726797,1.319420815,2020
82,Vietnam,Southeast Asia,nan,5.353499889,8.809545517,0.849987149,67.9527359,0.939592957,0.79642123,-0.094533332,1.685977936,2020
83,Indonesia,Southeast Asia,nan,5.285600185,9.36975193,0.808379889,62.15584946,0.870614409,0.876296401,0.519586504,1.479573488,2020
84,Ivory Coast,Sub-Saharan Africa,nan,5.233300209,8.225561142,0.658048689,49.50377274,0.727909327,0.790771961,-0.043991156,3.081022501,2020
85,Benin,Sub-Saharan Africa,nan,5.21600008,7.674319744,0.468671143,54.31246567,0.735182583,0.740532577,-0.003537213,3.440809727,2020
86,Maldives,South Asia,nan,5.197599888,9.518632889,0.91316092,70.59999847,0.853962779,0.824211061,0.038085498,1.098674774,2020
87,Congo (Brazzaville),Sub-Saharan Africa,nan,5.194399834,8.536987305,0.640228093,57.92448044,0.719058514,0.751779079,-0.123674095,2.722619534,2020
88,Azerbaijan,Commonwealth of Independent States,nan,5.164800167,9.687726974,0.819308281,65.50839996,0.786824107,0.55253756,-0.240255281,1.507632971,2020
89,Macedonia,Central and Eastern Europe,nan,5.159800053,9.510591507,0.820392311,67.50442505,0.738840938,0.897490501,-0.019877451,1.617594957,2020
90,Ghana,Sub-Saharan Africa,nan,5.147999763,8.350645065,0.728601098,57.20398712,0.794796526,0.847964764,0.094170853,2.378437281,2020
91,Nepal,South Asia,nan,5.137199879,7.925357342,0.785512447,63.77917862,0.797565043,0.738099158,0.154168829,2.014386892,2020
92,Turkey,Middle East and North Africa,nan,5.131800175,10.12941933,0.826313555,66.90281677,0.608830452,0.748197377,-0.171046436,1.564816713,2020
93,China,East Asia,nan,5.123899937,9.688568115,0.798760593,69.2891922,0.898517907,0.7539711,-0.18142575,1.336181879,2020
94,Turkmenistan,Commonwealth of Independent States,nan,5.119100094,9.74803257,0.958966196,62.21170807,0.826457024,0.883691847,0.187671542,1.115337372,2020
95,Bulgaria,Central and Eastern Europe,nan,5.101500034,9.869318962,0.937840343,66.80397797,0.745178163,0.935585141,-0.143908441,1.294961452,2020
96,Morocco,Middle East and North Africa,nan,5.094799995,8.940313339,0.592628479,65.89624023,0.772072434,0.815724611,-0.240377247,2.378402472,2020
97,Cameroon,Sub-Saharan Africa,nan,5.084899902,8.118647575,0.700386405,52.7049408,0.763051808,0.851336598,-0.00149645,2.719370842,2020
98,Venezuela,Latin America and Caribbean,nan,5.053199768,8.977793694,0.890408158,66.50534058,0.62327832,0.837038398,-0.169090509,1.74484086,2020
99,Algeria,Middle East and North Africa,nan,5.005099773,9.537964821,0.803385139,65.90517426,0.466610909,0.735485137,-0.121105164,1.840811729,2020
100,Senegal,Sub-Saharan Africa,nan,4.980800152,8.118982315,0.723616004,59.59915161,0.690596163,0.808785141,-0.052335154,2.405123949,2020
101,Guinea,Sub-Saharan Africa,nan,4.949299812,7.750990391,0.637573481,54.46780014,0.706846774,0.761794448,0.076328471,2.740729809,2020
102,Niger,Sub-Saharan Africa,nan,4.909599781,6.842166901,0.617435038,53.50009537,0.759772122,0.722530186,0.013860817,3.017630577,2020
103,Laos,Southeast Asia,nan,4.888599873,8.79858017,0.737502217,58.70992279,0.907213569,0.634679317,0.11137148,1.621152639,2020
104,Albania,Central and Eastern Europe,nan,4.882699966,9.417930603,0.671070457,68.70813751,0.781994224,0.896303713,-0.042309489,1.640897036,2020
105,Cambodia,Southeast Asia,nan,4.848400116,8.249890327,0.773080647,61.52996826,0.959704638,0.822769046,0.051911179,1.663300037,2020
106,Bangladesh,South Asia,nan,4.832799911,8.287063599,0.687292993,64.50306702,0.90062499,0.661843538,-0.033664726,1.755261898,2020
107,Gabon,Sub-Saharan Africa,nan,4.829299927,9.680537224,0.787886858,59.71533966,0.704829216,0.849150956,-0.222261623,1.735027552,2020
108,South Africa,Sub-Saharan Africa,nan,4.814099789,9.403370857,0.852532268,56.50601196,0.759330094,0.843423843,-0.109777324,1.625117302,2020
109,Iraq,Middle East and North Africa,nan,4.784800053,9.661095619,0.747694969,59.90354919,0.633182645,0.82226181,-0.06956476,1.752173662,2020
110,Lebanon,Middle East and North Africa,nan,4.771500111,9.3617239,0.824338138,67.10658264,0.551357508,0.90225625,-0.06121527,1.53554225,2020
111,Burkina Faso,Sub-Saharan Africa,nan,4.768700123,7.46854496,0.712943614,53.88945389,0.665563583,0.739795029,-0.019080516,2.588826418,2020
112,Gambia,Sub-Saharan Africa,nan,4.750599861,7.321814537,0.6931687,55.0120163,0.733163178,0.690717816,0.343198717,2.270216465,2020
113,Mali,Sub-Saharan Africa,nan,4.729300022,7.629852295,0.731468976,51.72698212,0.71156615,0.839328408,-0.044366926,2.559335232,2020
114,Nigeria,Sub-Saharan Africa,nan,4.724100113,8.57662487,0.73721689,49.86190796,0.759578407,0.861874342,0.033745807,2.219635487,2020
115,Armenia,Commonwealth of Independent States,nan,4.676799774,9.100476265,0.757479429,66.75065613,0.712017834,0.773544788,-0.13877961,1.468161583,2020
116,Georgia,Commonwealth of Independent States,nan,4.672599792,9.226100922,0.629033029,64.49520874,0.801641524,0.665944695,-0.22892037,1.69239831,2020
117,Iran,Middle East and North Africa,nan,4.672399998,9.813719749,0.694689691,66.00614929,0.647873282,0.714635968,0.117891103,1.286969423,2020
118,Jordan,Middle East and North Africa,nan,4.633399963,9.025999069,0.80216372,66.79975128,0.75104779,0.700344324,-0.162565202,1.262258053,2020
119,Mozambique,Sub-Saharan Africa,nan,4.623600006,7.069345951,0.723874032,54.20582199,0.864451885,0.683019102,0.032375868,2.221216202,2020
120,Kenya,Sub-Saharan Africa,nan,4.583000183,8.02977562,0.702652037,60.09693146,0.829747558,0.831499159,0.294681519,1.684904575,2020
121,Namibia,Sub-Saharan Africa,nan,4.571100235,9.203141212,0.846880972,56.50148773,0.767520964,0.851449788,-0.18530646,1.503033161,2020
122,Ukraine,Commonwealth of Independent States,nan,4.56069994,9.010690689,0.878879368,64.60678101,0.663081884,0.920636714,-0.030933706,1.252669334,2020
123,Liberia,Sub-Saharan Africa,nan,4.557899952,7.054380417,0.70928055,56.09631348,0.735268712,0.856375933,0.04227322,2.386757851,2020
124,Palestinian Territories,Middle East and North Africa,nan,4.552800179,8.389223099,0.825295925,62.25,0.645791829,0.824199975,-0.162079096,1.693985701,2020
125,Uganda,Sub-Saharan Africa,nan,4.43200016,7.500389576,0.764994621,55.70820236,0.731713951,0.836737812,0.099487431,1.958671093,2020
126,Chad,Sub-Saharan Africa,nan,4.422699928,7.467963696,0.632388055,48.22053909,0.587305248,0.802760839,0.017834719,2.74742651,2020
127,Tunisia,Middle East and North Africa,nan,4.392199993,9.314972878,0.688718557,66.89785767,0.593361557,0.867590249,-0.216413811,1.528496742,2020
128,Mauritania,Sub-Saharan Africa,nan,4.374599934,8.233919144,0.790819228,57.01017761,0.551522553,0.746223509,-0.106008142,1.85955739,2020
129,Sri Lanka,South Asia,nan,4.327000141,9.389969826,0.825374067,67.20006561,0.837633669,0.859001756,0.081129618,0.611288548,2020
130,Congo (Kinshasa),Sub-Saharan Africa,nan,4.31099987,6.694256306,0.672159016,52.90000153,0.700793564,0.809403598,0.083637655,2.437864304,2020
131,Swaziland,Sub-Saharan Africa,nan,4.308100224,9.16267395,0.770290196,51.18823624,0.646822274,0.708263338,-0.19920142,1.686207294,2020
132,Myanmar,Southeast Asia,nan,4.308000088,8.680481911,0.78440702,58.96171188,0.895075202,0.645124316,0.560663998,0.681462526,2020
133,Comoros,Sub-Saharan Africa,nan,4.288599968,7.833630085,0.625662446,57.34901047,0.547612607,0.780622602,0.090008408,2.17276907,2020
134,Togo,Sub-Saharan Africa,nan,4.187200069,7.357711315,0.551312625,54.71989822,0.649828613,0.757733464,0.002667875,2.409595251,2020
135,Ethiopia,Sub-Saharan Africa,nan,4.186200142,7.509385586,0.743307352,58.63959122,0.740795195,0.753690004,0.043377332,1.628459215,2020
136,Madagascar,Sub-Saharan Africa,nan,4.165599823,7.281685829,0.668195903,59.10542679,0.557574093,0.817485631,-0.011823639,2.136298418,2020
137,Egypt,Middle East and North Africa,nan,4.151400089,9.316541672,0.735447824,61.78015137,0.708354175,0.787726879,-0.196878314,1.158818245,2020
138,Sierra Leone,Sub-Saharan Africa,nan,3.926399946,7.26880312,0.636142015,50.86514282,0.715315044,0.861330688,0.088660747,2.046271801,2020
139,Burundi,Sub-Saharan Africa,nan,3.775300026,6.492642403,0.490325719,53.40000153,0.626350224,0.606934547,-0.017551597,2.401507378,2020
140,Zambia,Sub-Saharan Africa,nan,3.759399891,8.224720001,0.698824465,55.29937744,0.806500256,0.801289678,0.078037128,1.134339333,2020
141,Haiti,Latin America and Caribbean,nan,3.720799923,7.411329269,0.593247831,55.59862518,0.537825167,0.684767246,0.40053457,1.619916916,2020
142,Lesotho,Sub-Saharan Africa,nan,3.652800083,7.960488319,0.780495703,48.00362396,0.738125861,0.857392073,-0.145732045,1.445513964,2020
143,India,South Asia,nan,3.573299885,8.849823952,0.592200935,60.21518707,0.881444871,0.772042692,0.057551607,0.734130859,2020
144,Malawi,Sub-Saharan Africa,nan,3.538000107,7.062226295,0.544007301,57.59288788,0.803223193,0.731700778,0.021433279,1.552718282,2020
145,Yemen,Middle East and North Africa,nan,3.527400017,7.759682655,0.817980587,56.72728348,0.599920273,0.800287724,-0.157735437,1.116472721,2020
146,Botswana,Sub-Saharan Africa,nan,3.478899956,9.711203575,0.779121757,58.92445374,0.821328104,0.777930915,-0.250394493,0.257240534,2020
147,Tanzania,Sub-Saharan Africa,nan,3.476200104,7.967665195,0.688933194,57.49607468,0.82153976,0.619799435,0.109668687,0.718963385,2020
148,Central African Republic,Sub-Saharan Africa,nan,3.475899935,6.625160217,0.319459856,45.20000076,0.640880644,0.891806662,0.082410358,2.860197544,2020
149,Rwanda,Sub-Saharan Africa,nan,3.312299967,7.600104332,0.54083544,61.09884644,0.900589406,0.183541179,0.055483952,0.548444986,2020
150,Zimbabwe,Sub-Saharan Africa,nan,3.299200058,7.865711689,0.763092756,55.61725998,0.711457908,0.81023699,-0.072063953,0.841031075,2020
151,South Sudan,Sub-Saharan Africa,nan,2.816600084,7.425359726,0.553707123,51.0,0.451313615,0.763417304,0.016518548,1.378751278,2020
152,Afghanistan,South Asia,nan,2.566900015,7.462860584,0.470366955,52.59000015,0.396573007,0.933686554,-0.0964294,1.507235646,2020
=======
Country name,Region,Happiness_Rank,Happiness_Score,Economy_GDP,Family,Life_Expectancy,Freedom,Generosity,Trust_in_Gov,Ladder score in Dystopia,Dystopia_residual
Finland,Western Europe,1,7.808700085,10.63926697,Nan,71.9008255,0.949172199,-0.059482019,0.195444584,1.972316742,2.762835026
Denmark,Western Europe,2,7.645599842,10.77400112,Nan,72.40250397,0.951444268,0.066201776,0.168489456,1.972316742,2.432740688
Switzerland,Western Europe,3,7.559899807,10.97993279,Nan,74.10244751,0.921336651,0.105911039,0.303728431,1.972316742,2.35026741
Iceland,Western Europe,4,7.504499912,10.77255917,Nan,73,0.948891878,0.246944219,0.711709738,1.972316742,2.460688114
Norway,Western Europe,5,7.487999916,11.08780384,Nan,73.20078278,0.955750287,0.13453263,0.263218194,1.972316742,2.168266296
Netherlands,Western Europe,6,7.448900223,10.81271172,Nan,72.30091858,0.908547819,0.20761244,0.364717126,1.972316742,2.352117062
Sweden,Western Europe,7,7.353499889,10.75879383,Nan,72.60076904,0.939144194,0.111614622,0.250880182,1.972316742,2.246299267
New Zealand,North America and ANZ,8,7.299600124,10.50094318,Nan,73.20262909,0.936217487,0.191598073,0.22113885,1.972316742,2.128108025
Austria,Western Europe,9,7.294199944,10.7428236,Nan,73.00250244,0.899989486,0.085429221,0.499954879,1.972316742,2.398446083
Luxembourg,Western Europe,10,7.237500191,11.45068073,Nan,72.59999847,0.90563643,-0.004620588,0.367084295,1.972316742,2.153700352
Canada,North America and ANZ,11,7.23210001,10.69236851,Nan,73.60160065,0.933913231,0.124770768,0.390843362,1.972316742,2.195269108
Australia,North America and ANZ,12,7.222799778,10.72059631,Nan,73.60453796,0.915431738,0.19046016,0.41516912,1.972316742,2.129804134
United Kingdom,Western Europe,13,7.164500237,10.60013485,Nan,72.30160522,0.834743679,0.263732493,0.435915917,1.972316742,2.236721992
Israel,Middle East and North Africa,14,7.128600121,10.41752529,Nan,73.20025635,0.747580588,0.10259372,0.78085506,1.972316742,2.713358402
Costa Rica,Latin America and Caribbean,15,7.121399879,9.658156395,Nan,71.29985046,0.934738934,-0.10242971,0.786332428,1.972316742,2.953135014
Ireland,Western Europe,16,7.093699932,11.16097832,Nan,72.30078888,0.886982977,0.145784974,0.357184172,1.972316742,1.943878174
Germany,Western Europe,17,7.075799942,10.7328186,Nan,72.20201874,0.867371082,0.080179386,0.456422031,1.972316742,2.295249462
United States,North America and ANZ,18,6.939599991,10.92576885,Nan,68.29949951,0.842619538,0.149891734,0.699715316,1.972316742,2.344124794
Czech Republic,Central and Eastern Europe,19,6.910900116,10.40416336,Nan,70.04793549,0.818537354,-0.230861515,0.85844624,1.972316742,2.796808243
Belgium,Western Europe,20,6.863500118,10.6736393,Nan,72.00164795,0.813582063,-0.078691199,0.612297952,1.972316742,2.348626614
United Arab Emirates,Middle East and North Africa,21,6.790800095,11.1099987,Nan,67.08278656,0.941345513,0.123450845,0.594502211,1.972316742,2.166965961
Malta,Western Europe,22,6.772799969,10.53383827,Nan,72.19999695,0.924911439,0.214965805,0.658547282,1.972316742,1.952012062
France,Western Europe,23,6.663799763,10.58422279,Nan,73.80193329,0.825467646,-0.130641967,0.583521128,1.972316742,2.053198338
Mexico,Latin America and Caribbean,24,6.465000153,9.797797203,Nan,68.29902649,0.858709276,-0.175266623,0.806821585,1.972316742,2.662540197
Taiwan Province of China,East Asia,25,6.45539999,10.77568531,Nan,69.59999847,0.77153033,-0.073198698,0.73188293,1.972316742,2.160238743
Uruguay,Latin America and Caribbean,26,6.440100193,9.948192596,Nan,69.00254822,0.892395437,-0.101103112,0.635994136,1.972316742,2.167276382
Saudi Arabia,Middle East and North Africa,27,6.406499863,10.79781246,Nan,66.30514526,0.854191244,-0.168695062,0.682619512,1.972316742,2.203118801
Spain,Western Europe,28,6.400899887,10.46292686,Nan,74.40270996,0.751989543,-0.050961714,0.765859902,1.972316742,1.997088432
Guatemala,Latin America and Caribbean,29,6.398900032,8.924805641,Nan,64.8089447,0.908147573,-0.042938665,0.783237457,1.972316742,2.882723093
Italy,Western Europe,30,6.38740015,10.48183632,Nan,73.60168457,0.66465199,-0.043460999,0.873404682,1.972316742,2.249505997
Singapore,Southeast Asia,31,6.377099991,11.39552116,Nan,76.80458069,0.926645339,0.029879224,0.109784193,1.972316742,0.937031746
Brazil,Latin America and Caribbean,32,6.375599861,9.56643486,Nan,66.48016357,0.799804807,-0.101812392,0.770601273,1.972316742,2.571860313
Slovenia,Central and Eastern Europe,33,6.363399982,10.39232254,Nan,71.1029892,0.936142623,-0.080603383,0.817071021,1.972316742,1.888586521
El Salvador,Latin America and Caribbean,34,6.34829998,8.909075737,Nan,66.10826111,0.833805263,-0.121072978,0.754319906,1.972316742,2.937191725
Kosovo,Central and Eastern Europe,35,6.325200081,9.204429626,Nan,63.88555527,0.861535907,0.190933764,0.922328293,1.972316742,2.736902714
Panama,Latin America and Caribbean,36,6.304800034,10.03423405,Nan,69.60301208,0.880366504,-0.153927714,0.851588905,1.972316742,2.221176147
Slovakia,Central and Eastern Europe,37,6.280600071,10.34774971,Nan,68.90634155,0.749952674,-0.124409303,0.918096125,1.972316742,2.256422043
Uzbekistan,Commonwealth of Independent States,38,6.257599831,8.740371704,Nan,65.10757446,0.974998116,0.248427153,0.501497388,1.972316742,2.073346615
Chile,Latin America and Caribbean,39,6.228499889,10.0320549,Nan,69.90061951,0.744896293,-0.065668367,0.838239431,1.972316742,2.283012867
